Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "matrix_main_board.brd" as of: 23/04/2020 14:43:08
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,5.885,2.880,0
C2,Bottom,6.000,2.705,0
C3,Bottom,5.372,3.415,270
C4,Bottom,4.700,2.900,180
C5,Bottom,4.000,3.100,180
C6,Bottom,2.725,3.100,180
C7,Bottom,1.450,3.100,180
C8,Bottom,0.175,3.100,180
C9,Bottom,3.900,1.850,180
C10,Bottom,1.350,1.850,180
C11,Bottom,5.845,2.510,0
D1,Bottom,4.900,0.650,270
D2,Bottom,4.250,0.650,270
D3,Bottom,3.600,0.650,270
D4,Bottom,2.950,0.645,270
D5,Bottom,2.300,0.650,270
D6,Bottom,1.650,0.650,270
D7,Bottom,1.000,0.660,270
D8,Bottom,0.350,0.650,270
D9,Bottom,6.000,1.600,90
D10,Bottom,5.700,1.600,90
D11,Bottom,5.400,1.600,90
IC1,Bottom,5.600,3.100,45
IC2,Bottom,4.700,3.050,90
IC3,Bottom,4.150,2.850,270
IC4,Bottom,2.875,2.850,270
IC5,Bottom,1.600,2.850,270
IC6,Bottom,0.350,2.850,270
IC7,Bottom,3.900,1.600,270
IC8,Bottom,1.350,1.600,270
R1,Bottom,5.067,3.022,180
R2,Bottom,5.067,3.125,180
R3,Bottom,5.905,3.515,90
R4,Bottom,5.815,3.515,90
R5,Bottom,5.995,3.465,90
R6,Bottom,5.920,2.610,180
R7,Bottom,6.000,2.100,0
R8,Bottom,5.700,2.100,0
R9,Bottom,5.400,2.100,0
R10,Bottom,5.050,3.300,0
R11,Bottom,4.750,3.300,0
R12,Bottom,4.450,3.300,0
R13,Bottom,4.150,3.300,0
R14,Bottom,3.775,3.300,0
R15,Bottom,3.475,3.300,0
R16,Bottom,3.175,3.300,0
R17,Bottom,2.875,3.300,0
R18,Bottom,2.500,3.300,0
R19,Bottom,2.200,3.300,0
R20,Bottom,1.900,3.300,0
R21,Bottom,1.600,3.300,0
R22,Bottom,1.225,3.300,0
R23,Bottom,0.925,3.300,0
R24,Bottom,0.625,3.300,0
R25,Bottom,0.325,3.300,0
R26,Bottom,5.050,2.550,0
R27,Bottom,4.750,2.550,0
R28,Bottom,4.450,2.550,0
R29,Bottom,4.150,2.550,0
R30,Bottom,3.775,2.550,0
R31,Bottom,3.475,2.550,0
R32,Bottom,3.175,2.550,0
R33,Bottom,2.875,2.550,0
R34,Bottom,2.500,2.550,0
R35,Bottom,2.200,2.550,0
R36,Bottom,1.900,2.550,0
R37,Bottom,1.600,2.550,0
R38,Bottom,1.225,2.550,0
R39,Bottom,0.925,2.550,0
R40,Bottom,0.625,2.550,0
R41,Bottom,0.325,2.550,0
R42,Bottom,0.450,3.100,180
R43,Bottom,5.850,3.730,180
R44,Bottom,5.850,3.640,180
